,linear.weight,linear.bias
20,"[[ 0.53790796  0.86430335  0.3439325   0.46893212  0.8456122   0.02612312
   0.57292897 -0.02350275  0.78118783  0.4517919   0.44755036  0.8163763
   0.8924059  -0.17492612  0.9767728   0.19301094  0.7593455   0.85866463
   0.39527664  0.43797415  0.3222145   0.46192864  0.37531686  0.4836612
   0.5924671   0.5468088   0.34033546  0.5007217   0.73628193  0.756123
   0.68564767  0.377943    0.399047    1.6568456   1.0927424   0.37565008
   0.46420822  0.36488912  0.5058839   0.46743187  0.9394525   0.7398929
   1.1361542   0.51044613  0.44236434  0.33114898  0.83642423  0.94211966
   0.87962157  1.2168725   0.40717685  0.78558004  0.76162505  0.631086
   0.88321877  0.5579143   1.1974325   1.0479991   0.3850924   0.75462246
   0.77600485  0.90133953  0.84823686  1.2856903   0.8282773   0.77176297
   0.72283345  0.9478402 ]]",[-2.7902176]
21,"[[ 0.5276491   0.8628109   0.3423089   0.47177073  0.8418707   0.01081686
   0.56410515 -0.05308045  0.78957963  0.45305777  0.44996867  0.8124806
   0.90326506 -0.21304418  0.9822358   0.18199043  0.7535481   0.856033
   0.3962098   0.44049513  0.3219352   0.46349898  0.37577087  0.4766163
   0.5839793   0.53524673  0.3344825   0.5051246   0.7363743   0.74936587
   0.6921608   0.37793884  0.38367322  1.7006129   1.1105741   0.36014184
   0.46626022  0.36377513  0.49191317  0.47044343  0.93712544  0.7431923
   1.1562986   0.50631964  0.43022713  0.31654444  0.84108114  0.9407659
   0.87749964  1.2356825   0.40732718  0.7793135   0.75630945  0.6358284
   0.88532627  0.5416215   1.2089934   1.0541419   0.38352382  0.7480384
   0.7698411   0.8978732   0.8440375   1.3038741   0.82359856  0.7667515
   0.7146849   0.94733   ]]",[-2.787671]
22,"[[ 0.5177215   0.8613678   0.34069696  0.47474208  0.83819556 -0.00384869
   0.5552879  -0.08251402  0.7984758   0.45454532  0.45254156  0.8089493
   0.9145575  -0.25128016  0.98760575  0.17085569  0.74796224  0.85346013
   0.39724866  0.44322538  0.32158974  0.4652677   0.37640208  0.46935615
   0.5753187   0.52389824  0.3285489   0.50958604  0.7365153   0.7425881
   0.69848293  0.37800905  0.3684041   1.7442912   1.128288    0.3447401
   0.4682411   0.36274278  0.47771496  0.47361612  0.9347449   0.7468477
   1.1765693   0.5021541   0.41772625  0.3016468   0.845837    0.9395149
   0.87550676  1.2544931   0.4072536   0.7729784   0.7509358   0.6408841
   0.887655    0.52544206  1.2208669   1.0603513   0.38207132  0.7414621
   0.7636632   0.8946138   0.8398013   1.3224616   0.8189549   0.7616594
   0.70661867  0.94697934]]",[-2.7850256]
23,"[[ 0.5086304   0.86004514  0.3397153   0.4781742   0.8346872  -0.01501703
   0.54665434 -0.11167533  0.8071415   0.45664114  0.45576382  0.80564916
   0.9255302  -0.28882053  0.99329793  0.16038191  0.7423693   0.85101444
   0.39877415  0.44666195  0.3221797   0.46758646  0.37759328  0.46283302
   0.56683415  0.51292974  0.3230079   0.51490575  0.7368553   0.7357527
   0.7046868   0.3786301   0.3531766   1.7882268   1.146312    0.33009544
   0.4709465   0.36230123  0.463503    0.47756416  0.93248725  0.75048345
   1.1971868   0.49853095  0.40617302  0.28778693  0.85022646  0.93823457
   0.8736011   1.2737907   0.40766662  0.76665425  0.74572986  0.6464813
   0.89030874  0.5094565   1.2324996   1.0665426   0.38108894  0.73514247
   0.7575535   0.8911367   0.8357229   1.3407668   0.81454223  0.75667644
   0.6984116   0.9466983 ]]",[-2.7871583]
24,"[[ 0.49798027  0.8581604   0.33844864  0.48112085  0.83073354 -0.02707729
   0.53756803 -0.14207138  0.815901    0.45787668  0.45814997  0.8014389
   0.9363952  -0.32731554  0.9986713   0.1493339   0.73683053  0.8480669
   0.39999908  0.44932443  0.32193017  0.46911603  0.37808472  0.45556805
   0.55824095  0.5016333   0.31747785  0.51960903  0.7370243   0.728755
   0.71168286  0.37892956  0.3375671   1.8330724   1.1639836   0.31417924
   0.4728309   0.3615942   0.44921824  0.4809078   0.9300045   0.754094
   1.2173831   0.4945404   0.3937594   0.27326742  0.85538465  0.9366717
   0.8712135   1.2931014   0.40822282  0.7603376   0.740546    0.65142065
   0.8921846   0.49308237  1.2443662   1.0727892   0.38007158  0.72854155
   0.7515132   0.8877318   0.83157724  1.3596661   0.80966294  0.7517866
   0.690054    0.946115  ]]",[-2.787831]
25,"[[ 0.48790452  0.8562718   0.33659193  0.48368043  0.82684153 -0.03942633
   0.52828026 -0.17229111  0.82407653  0.45881972  0.46035418  0.7976379
   0.94716203 -0.36621514  1.0040289   0.13770814  0.7311744   0.84561706
   0.40067807  0.45152748  0.32138416  0.4703694   0.3782717   0.44831315
   0.549254    0.49013945  0.31122547  0.5243327   0.7371018   0.7219328
   0.7177131   0.37877607  0.3220102   1.8777682   1.1817311   0.29861343
   0.47444174  0.35999864  0.43427563  0.48368457  0.9275802   0.75730324
   1.2380133   0.49011773  0.3815383   0.258455    0.8597869   0.9352105
   0.86902446  1.3121401   0.4079782   0.7540892   0.735247    0.65636194
   0.89439136  0.47632113  1.256191    1.0790719   0.37857825  0.72193694
   0.7452632   0.88423187  0.8273451   1.3785331   0.80493855  0.7467979
   0.6812845   0.94565195]]",[-2.7878697]
26,"[[ 0.47849995  0.8545943   0.3344408   0.4862116   0.82347107 -0.05151494
   0.5191349  -0.2018718   0.83233166  0.4594912   0.46233395  0.7942927
   0.95775265 -0.4038494   1.0095071   0.12618499  0.725895    0.8434913
   0.40113518  0.45363486  0.3208601   0.4713299   0.37845418  0.44123453
   0.54097754  0.4788343   0.30504078  0.528615    0.7375605   0.7149522
   0.7231569   0.37818587  0.30671713  1.9211928   1.1989142   0.28318572
   0.47576028  0.35816398  0.419985    0.48670468  0.92504823  0.7604213
   1.2579107   0.48539737  0.3693225   0.24390368  0.8640385   0.93377405
   0.8672151   1.3308804   0.40736288  0.7480212   0.7303257   0.66067797
   0.89661545  0.46025428  1.2677944   1.0851318   0.37708974  0.71544516
   0.7393226   0.8807953   0.8232021   1.3967613   0.8005213   0.74216586
   0.6730417   0.9454167 ]]",[-2.7872534]
27,"[[ 0.46865892  0.85297704  0.33270228  0.4894053   0.81981564 -0.06341564
   0.5102724  -0.23121755  0.8408049   0.4606686   0.4649145   0.7908057
   0.9685156  -0.44190368  1.014802    0.11517418  0.72023875  0.84099424
   0.40227774  0.45622298  0.32076114  0.4727964   0.37898952  0.4341375
   0.5324378   0.46744463  0.29923868  0.5332545   0.73775464  0.70796853
   0.72934675  0.37819052  0.29141673  1.9652517   1.2165092   0.2676667
   0.47776544  0.35700998  0.40564546  0.49003688  0.92264926  0.7638673
   1.2782203   0.481192    0.357198    0.22948994  0.86884224  0.9323653
   0.8653024   1.3496236   0.40719858  0.74178207  0.7252081   0.6655664
   0.8987664   0.443659    1.2795823   1.0912452   0.3756858   0.7086003
   0.73309106  0.8772432   0.81901556  1.4153383   0.7957277   0.73733723
   0.6647513   0.9448945 ]]",[-2.7862272]
28,"[[ 0.45911053  0.85132396  0.3311453   0.49237368  0.81626904 -0.0749362
   0.50157636 -0.2598999   0.8490602   0.4617814   0.4670818   0.78727776
   0.9790666  -0.4787062   1.0200769   0.10441658  0.7151312   0.83862495
   0.4032967   0.45867452  0.32059342  0.47415447  0.37945938  0.42752624
   0.5240241   0.45673388  0.29362395  0.53809136  0.7382721   0.70164824
   0.73545885  0.37830076  0.27668968  2.0080361   1.233084    0.25248635
   0.47943667  0.3559428   0.3918824   0.4929206   0.9201252   0.76704216
   1.2975222   0.4770953   0.3455067   0.2155028   0.873576    0.9307724
   0.8634229   1.3678746   0.40729013  0.73589426  0.7204135   0.6705436
   0.90094465  0.42785618  1.2911376   1.0971771   0.3746908   0.70219535
   0.7274877   0.8739746   0.81510943  1.4338654   0.7912723   0.7327881
   0.65647817  0.944548  ]]",[-2.7909865]
29,"[[ 0.44999996  0.8497813   0.32963708  0.49539503  0.81300527 -0.08599515
   0.4929632  -0.28846234  0.856971    0.46332705  0.46976075  0.78403205
   0.9891904  -0.51501626  1.0256459   0.09407204  0.70981807  0.83666754
   0.40454206  0.46141282  0.32084712  0.47576246  0.3803226   0.42102912
   0.5161384   0.44587135  0.28854284  0.5429458   0.7388174   0.69542754
   0.7414565   0.37845156  0.26228276  2.0508847   1.2499272   0.23735578
   0.481637    0.35478723  0.37820038  0.49602833  0.91768944  0.7704262
   1.3172046   0.4732645   0.334483    0.20226635  0.8782756   0.92919594
   0.861818    1.3860329   0.40742293  0.73004323  0.7156928   0.6753165
   0.9029127   0.4122074   1.3025824   1.1030896   0.37380734  0.696061
   0.72169554  0.8706077   0.8111332   1.4519684   0.7869143   0.7281298
   0.6485112   0.94411814]]",[-2.7912183]
