,linear.weight,linear.bias
29,"[[-1.5546466e-01 -2.4901463e-03 -1.5790646e-01  2.0348544e-01
   4.8851770e-01 -1.8957180e-01 -9.3078691e-01  1.4125119e-01
   4.3320426e-01 -2.5860602e-03 -2.8005326e-01 -6.8235731e-01
  -5.0522573e-05  8.6052231e-03 -5.6468311e-05 -2.3526171e-01
  -3.8198276e+00 -6.8596830e+00 -2.3181541e+00  1.2548103e+00
   8.2976884e-01  9.7023553e-01]]",[-2.5850449]
30,"[[-1.6539493e-01 -3.1209516e-03 -1.6668573e-01  1.9908740e-01
   4.9052835e-01 -1.9650482e-01 -9.5421296e-01  1.3593748e-01
   4.3472689e-01 -2.5411660e-03 -2.8600204e-01 -7.2487295e-01
  -4.9018934e-05  8.7529803e-03 -6.8530695e-05 -2.4172507e-01
  -3.8856511e+00 -6.9681883e+00 -2.3584752e+00  1.2509718e+00
   8.2589269e-01  9.7153300e-01]]",[-2.5779784]
31,"[[-1.7479736e-01 -3.8713210e-03 -1.7517923e-01  1.9499725e-01
   4.9252760e-01 -2.0289391e-01 -9.7656012e-01  1.3088879e-01
   4.3612379e-01 -2.6698892e-03 -2.9154417e-01 -7.6722318e-01
   5.0857845e-05  8.9766756e-03  9.3250223e-05 -2.4762560e-01
  -3.9490106e+00 -7.0724730e+00 -2.3970432e+00  1.2473334e+00
   8.2209218e-01  9.7315067e-01]]",[-2.570733]
32,"[[-1.8373565e-01 -4.3033413e-03 -1.8334888e-01  1.9117476e-01
   4.9450022e-01 -2.0878124e-01 -9.9792039e-01  1.2608449e-01
   4.3742540e-01 -2.8509656e-03 -2.9672056e-01 -8.0934727e-01
   7.5317672e-05  9.0816794e-03  1.9515865e-06 -2.5301391e-01
  -4.0100193e+00 -7.1727810e+00 -2.4339719e+00  1.2439028e+00
   8.1837171e-01  9.7504550e-01]]",[-2.5633552]
33,"[[-1.92243427e-01 -4.69481666e-03 -1.91184595e-01  1.87588558e-01
   4.96440917e-01 -2.14207038e-01 -1.01836503e+00  1.21516526e-01
   4.38654929e-01 -2.87639024e-03 -3.01571697e-01 -8.51185381e-01
   8.48210584e-06  9.27271042e-03  7.04961421e-05 -2.57944316e-01
  -4.06880713e+00 -7.26934099e+00 -2.46936178e+00  1.24067664e+00
   8.14758480e-01  9.77182686e-01]]",[-2.5558689]
34,"[[-2.0036244e-01 -5.1560467e-03 -1.9867741e-01  1.8421167e-01
   4.9834239e-01 -2.1921065e-01 -1.0379606e+00  1.1716795e-01
   4.3982950e-01 -2.8922302e-03 -3.0612224e-01 -8.9268988e-01
   5.5462646e-05  9.3551790e-03  9.1247093e-05 -2.6246101e-01
  -4.1254807e+00 -7.3623533e+00 -2.5033023e+00  1.2376554e+00
   8.1126630e-01  9.7952908e-01]]",[-2.5483065]
35,"[[-2.0812519e-01 -5.5990391e-03 -2.0583850e-01  1.8102083e-01
   5.0019789e-01 -2.2383392e-01 -1.0567673e+00  1.1302293e-01
   4.4095722e-01 -3.1987838e-03 -3.1039891e-01 -9.3381101e-01
   2.3957340e-05  9.5185069e-03  5.8504709e-05 -2.6659861e-01
  -4.1801372e+00 -7.4520116e+00 -2.5358849e+00  1.2348320e+00
   8.0790639e-01  9.8206031e-01]]",[-2.540662]
36,"[[-2.1556476e-01 -5.7612141e-03 -2.1267770e-01  1.7799352e-01
   5.0200003e-01 -2.2811528e-01 -1.0748392e+00  1.0906279e-01
   4.4204363e-01 -3.3320715e-03 -3.1442016e-01 -9.7452664e-01
  -8.0619568e-05  9.5592802e-03 -3.9352290e-05 -2.7038717e-01
  -4.2328796e+00 -7.5384908e+00 -2.5671792e+00  1.2322032e+00
   8.0468321e-01  9.8475528e-01]]",[-2.5329866]
37,"[[-2.2269730e-01 -6.1813253e-03 -2.1920358e-01  1.7512232e-01
   5.0375098e-01 -2.3208086e-01 -1.0922146e+00  1.0528598e-01
   4.4309863e-01 -3.4674793e-03 -3.1821418e-01 -1.0147878e+00
  -5.8960261e-05  9.6729062e-03  8.0305672e-06 -2.7385935e-01
  -4.2838063e+00 -7.6219630e+00 -2.5972598e+00  1.2297598e+00
   8.0160493e-01  9.8759490e-01]]",[-2.5252829]
38,"[[-2.2954170e-01 -6.3778590e-03 -2.2543122e-01  1.7239356e-01
   5.0544995e-01 -2.3575835e-01 -1.1089337e+00  1.0167669e-01
   4.4412559e-01 -3.5909859e-03 -3.2179597e-01 -1.0545766e+00
   8.2763654e-05  9.8523563e-03 -2.7336764e-06 -2.7704060e-01
  -4.3330035e+00 -7.7025781e+00 -2.6261940e+00  1.2274988e+00
   7.9867858e-01  9.9056399e-01]]",[-2.5175843]
